 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,-0.0473,0.0115,220.2889,528.0239
2,R-001_Plot-002.tif,-0.0445,0.0103,277.6140,581.1561
3,R-001_Plot-003.tif,-0.0371,0.0123,376.9273,681.6767
4,R-001_Plot-004.tif,-0.0456,0.0104,256.4727,564.8437
5,R-001_Plot-005.tif,-0.0328,0.0147,394.2893,672.5278
6,R-001_Plot-006.tif,-0.0399,0.0107,341.8982,599.7425
7,R-001_Plot-007.tif,-0.0317,0.0149,405.8914,679.8683
8,R-001_Plot-008.tif,-0.0335,0.0099,374.2322,607.4460
9,R-001_Plot-009.tif,-0.0367,0.0096,322.2574,550.9573
10,R-001_Plot-010.tif,-0.0355,0.0111,421.7374,657.8464
11,R-001_Plot-011.tif,-0.0336,0.0089,405.5668,633.9059
12,R-001_Plot-012.tif,-0.0224,0.0084,473.2881,650.7829
13,R-001_Plot-013.tif,-0.0232,0.0070,515.4461,718.0161
14,R-001_Plot-014.tif,-0.0276,0.0104,473.7861,661.1236
15,R-001_Plot-015.tif,-0.0199,0.0112,511.6887,685.5270
16,R-002_Plot-016.tif,-0.0204,0.0120,557.5170,741.7268
17,R-002_Plot-017.tif,-0.0213,0.0139,491.0702,680.9083
18,R-002_Plot-018.tif,-0.0205,0.0088,490.1750,664.4428
19,R-002_Plot-019.tif,-0.0195,0.0092,459.1685,626.9850
20,R-002_Plot-020.tif,-0.0294,0.0079,406.5244,592.0877
21,R-002_Plot-021.tif,-0.0328,0.0129,403.8767,598.7523
22,R-002_Plot-022.tif,-0.0296,0.0113,471.2851,673.0587
23,R-002_Plot-023.tif,-0.0193,0.0159,527.7725,699.3442
24,R-002_Plot-024.tif,-0.0331,0.0118,390.8072,591.5291
25,R-002_Plot-025.tif,-0.0318,0.0118,311.3570,542.6504
26,R-002_Plot-026.tif,-0.0206,0.0135,377.9223,576.7278
27,R-002_Plot-027.tif,-0.0304,0.0121,321.3250,584.0364
28,R-002_Plot-028.tif,-0.0408,0.0111,243.3226,483.5214
29,R-002_Plot-029.tif,-0.0426,0.0092,226.5514,485.5309
30,R-002_Plot-030.tif,-0.0460,0.0171,180.5808,488.8250
31,R-003_Plot-031.tif,-0.0363,0.0160,405.4290,696.3465
32,R-003_Plot-032.tif,-0.0509,0.0106,270.3553,580.7218
33,R-003_Plot-033.tif,-0.0454,0.0114,295.5876,494.1430
34,R-003_Plot-034.tif,-0.0401,0.0096,314.9913,607.2660
35,R-003_Plot-035.tif,-0.0351,0.0100,359.7785,569.1656
36,R-003_Plot-036.tif,-0.0256,0.0113,456.9722,641.1151
37,R-003_Plot-037.tif,-0.0279,0.0118,415.5299,598.2527
38,R-003_Plot-038.tif,-0.0261,0.0099,380.9732,559.9056
39,R-003_Plot-039.tif,-0.0246,0.0108,436.2667,645.4927
40,R-003_Plot-040.tif,-0.0294,0.0078,406.5737,632.5626
41,R-003_Plot-041.tif,-0.0184,0.0142,516.7976,689.7116
42,R-003_Plot-042.tif,-0.0148,0.0117,512.5552,698.4091
43,R-003_Plot-043.tif,-0.0190,0.0091,431.6333,623.6583
44,R-003_Plot-044.tif,-0.0213,0.0066,328.1929,517.3871
45,R-003_Plot-045.tif,-0.0145,0.0082,385.7090,538.2208
46,R-004_Plot-046.tif,-0.0241,0.0065,438.4750,658.0667
47,R-004_Plot-047.tif,-0.0155,0.0140,505.8501,666.9823
48,R-004_Plot-048.tif,-0.0209,0.0067,457.0159,658.7886
49,R-004_Plot-049.tif,-0.0120,0.0130,487.7488,615.0356
50,R-004_Plot-050.tif,-0.0247,0.0102,341.5912,529.8546
51,R-004_Plot-051.tif,-0.0295,0.0075,410.9402,625.9501
52,R-004_Plot-052.tif,-0.0292,0.0060,466.0734,706.0622
53,R-004_Plot-053.tif,-0.0287,0.0078,492.5930,707.0828
54,R-004_Plot-054.tif,-0.0269,0.0090,539.1969,768.2505
55,R-004_Plot-055.tif,-0.0300,0.0080,442.7253,649.2597
56,R-004_Plot-056.tif,-0.0341,0.0178,398.9781,639.5807
57,R-004_Plot-057.tif,-0.0398,0.0073,347.7628,606.2979
58,R-004_Plot-058.tif,-0.0371,0.0106,414.7933,656.0187
59,R-004_Plot-059.tif,-0.0453,0.0086,352.6775,616.1505
60,R-004_Plot-060.tif,-0.0354,0.0143,386.6579,656.7055
