"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"1",0.05,0.3515999000999,0.191828681541499,0.123947207368703,0.149996094331044,"2022-02-03","15-30m",0
"2",0.05,0.352275724275724,0.190765249161253,0.124333966621107,0.15350211729806,"2022-02-03","15-30m",3
"3",0.05,0.473535714285714,0.338338156782015,0.190188489358476,0.23799405661246,"2022-02-03","30m",0
"4",0.05,0.329404761904762,0.160285172058996,0.146030226559006,0.178098250146253,"2022-02-03","30m",4
"5",0.05,0.546952380952381,0.431809727829937,0.165269024694207,0.201874640532219,"2022-02-03","15m",0
"6",0.05,0.52968253968254,0.408907543132374,0.17601879237266,0.216564109370819,"2022-02-03","15m",3
"7",0.05,0.464607142857143,0.331117599613046,0.171569628164366,0.210097056253454,"2022-05-03","50m",0
"8",0.05,0.288547619047619,0.114840649576121,0.127307351530029,0.156808569256032,"2022-05-03","50m",3
"9",0.05,0.336144189144189,0.170390458903992,0.122643186511847,0.150446708748721,"2022-01-19","15-30m",0
"10",0.05,0.330360805860806,0.163737714533136,0.116264144853023,0.143499681130525,"2022-01-19","15-30m",4
"11",0.05,0.380809523809524,0.226694448815784,0.141947286951325,0.170549185209805,"2022-01-19","30m",0
"12",0.05,0.387607142857143,0.231980408164901,0.152638904949852,0.188625400505425,"2022-01-19","30m",4
"13",0.05,0.296690476190476,0.118208971739885,0.147763344259967,0.17777720131535,"2022-01-19","15m",0
"14",0.05,0.444281746031746,0.305023295699283,0.175954169733887,0.217694358776243,"2022-01-19","15m",4
"15",0.05,0.696238927738928,0.618772536014559,0.118777766872291,0.148120480551406,"2022-03-09","15-30m",0
"16",0.05,0.677043456543457,0.594647788675389,0.121790669962852,0.152134308483138,"2022-03-09","15-30m",3
"17",0.05,0.722107142857143,0.650243535526935,0.163165245066465,0.202787927746759,"2022-03-09","15m",0
"18",0.05,0.715880952380952,0.6417458138272,0.162568686183371,0.203312013103164,"2022-03-09","15m",2
"19",0.05,0.744511904761905,0.675931398200968,0.15494179567931,0.196765818499396,"2022-03-09","30m",0
"20",0.05,0.772376984126984,0.712393481749664,0.160858416270499,0.201139749042108,"2022-03-09","30m",2
"21",0.05,0.278654761904762,0.111694597019211,0.115289807957265,0.143638794468915,"2022-06-02","50m",0
"22",0.05,0.128142857142857,-0.0829180277646321,0.121663600367623,0.156917936443933,"2022-06-02","50m",2
"23",0.05,0.777297619047619,0.719972691819627,0.17452249997376,0.216808572704103,"2022-03-22","50m",0
"24",0.05,0.848261904761905,0.808644695447268,0.127945430154477,0.160679509432563,"2022-03-22","50m",2
"25",0.05,0.655202380952381,0.56825523926984,0.133026950668672,0.165054148869412,"2022-04-19","50m",0
"26",0.05,0.517416666666667,0.397951305059901,0.160965539689126,0.199794118926936,"2022-04-19","50m",3
"27",0.05,0.718003968253968,0.643957420066275,0.116378810893905,0.142850504947502,"2022-04-05","50m",0
"28",0.05,0.709630952380952,0.634751371487466,0.155671936376217,0.192810900831138,"2022-04-05","50m",4
"29",0.05,0.235029841761266,0.0441788837322433,0.0801086731708401,0.0990964015613857,"2022-05-26","15-30-50m",0
"30",0.05,0.282899337805298,0.103367685157483,0.0968975176665718,0.12193169142043,"2022-05-26","15-30-50m",3
"31",0.05,0.314178571428571,0.151202923821379,0.163762585892276,0.194241194131168,"2022-05-26","50m",0
"32",0.05,0.18827380952381,-0.0122413859654091,0.146814122943795,0.177278006836205,"2022-05-26","50m",3
"33",0.05,0.185321428571429,0.00981762193876531,0.101339272515024,0.119027329570213,"2022-05-26","15m",0
"34",0.05,0.213238095238095,0.0183799841261115,0.139513364199166,0.172067191500365,"2022-05-26","15m",3
"35",0.05,0.227440476190476,0.0416997927486941,0.137787155201688,0.170788504212051,"2022-05-26","30m",0
"36",0.05,0.261876984126984,0.0940894491702033,0.115395523851475,0.143084514202403,"2022-05-26","30m",3
"37",0.05,0.527359307359307,0.406286847328353,0.133930798006925,0.165892097319493,"2022-02-14","15-30m",0
"38",0.05,0.441509490509491,0.301068431186889,0.1343323670978,0.167649951628297,"2022-02-14","15-30m",3
"39",0.05,0.680428571428571,0.597836550506722,0.169163960805762,0.208901776701066,"2022-02-14","15m",0
"40",0.05,0.553535714285714,0.441498239019006,0.158331430567178,0.196266958572513,"2022-02-14","15m",3
"41",0.05,0.499035714285714,0.374025921498895,0.166709409674057,0.205223806495266,"2022-02-14","30m",0
"42",0.05,0.414126984126984,0.265741765143017,0.157579251067311,0.191426554300376,"2022-02-14","30m",3
